,Prompt,class_0,class_100,Answer
0,Is the mixture between (NCCCC[C@H](N)C(=O)O) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",1
1,Is the mixture between (N[C@H]1CC[C@H](N)CC1) and (O=Cc1cccc(-c2cc(-c3cccc(C=O)c3)cc(-c3cccc(C=O)c3)c2)c1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'turbid', 'turbid']",1
2,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (O=Cc1cc(-c2cc(-c3csc(C=O)c3)cc(-c3csc(C=O)c3)c2)cs1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'turbid', 'turbid']",1
3,Is the mixture between (N[C@H]([C@H](C1=CC=CC=C1)N)C2=CC=CC=C2) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'turbid', 'turbid']",0
4,Is the mixture between (NCCCCCCN) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",0
5,Is the mixture between (NC1=NON=C1N) and (C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)/C=C/C3=CC=C(C=C3)C=O)/C=C/C4=CC=C(C=C4)C=O)C=O) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'turbid', 'turbid']",0
6,Is the mixture between (NCCCCCCN) and (O=Cc1cc(-c2cc(-c3csc(C=O)c3)cc(-c3csc(C=O)c3)c2)cs1) turbid or dissolved?,"['turbid', 'dissolved', 'turbid']","['dissolved', 'dissolved', 'turbid']",1
7,Is the mixture between (N[C@H]([C@H](C1=CC=CC=C1)N)C2=CC=CC=C2) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'turbid', 'turbid']",1
8,Is the mixture between (NCC1=CC(CN)=CC=C1) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'turbid', 'turbid']",1
9,Is the mixture between (NCCN) and (O=Cc1cc(-c2cc(-c3csc(C=O)c3)cc(-c3csc(C=O)c3)c2)cs1) turbid or dissolved?,"['dissolved', 'turbid', 'turbid']","['dissolved', 'dissolved', 'turbid']",0
10,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?,"['dissolved', 'turbid', 'turbid']","['dissolved', 'dissolved', 'dissolved']",1
11,Is the mixture between (Nc1ccc(Oc2ccc(N)cc2)cc1) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'turbid', 'turbid']",0
12,Is the mixture between (CN(CCCN)CCCN) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?,"['dissolved', 'turbid', 'turbid']","['dissolved', 'dissolved', 'dissolved']",1
13,Is the mixture between (O=Cc1cc2sc(C=O)cc2s1) and (Nc1nc(N)nc(N)n1) turbid or dissolved?,"['turbid', 'turbid', 'dissolved']","['dissolved', 'turbid', 'dissolved']",0
14,Is the mixture between (CC(C)(CN)CN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?,"['turbid', 'dissolved', 'turbid']","['dissolved', 'dissolved', 'dissolved']",0
15,Is the mixture between (NCC(CN)O) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['dissolved', 'dissolved', 'dissolved']",1
16,Is the mixture between (NCC1CCC(CN)CC1) and (O=Cc1ccccc1-c1cc(-c2ccccc2C=O)cc(-c2ccccc2C=O)c1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['dissolved', 'dissolved', 'turbid']",1
17,Is the mixture between (N[C@H]1CCC[C@H](C1)N) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'turbid', 'turbid']",0
18,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?,"['turbid', 'turbid', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",1
19,Is the mixture between (NCc1ccc(CN)cc1) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'turbid', 'turbid']",0
20,Is the mixture between (N[C@@H]1[C@H](CCCC1)N) and (O=Cc1ccc(C#Cc2cc(C=O)cc(C=O)c2)cc1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['dissolved', 'turbid', 'turbid']",1
21,Is the mixture between (NCCOCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",1
22,Is the mixture between (Cn1nc(-c2ccc(C=O)cc2)cc1C=O) and (NCCCN(CCCN)CCCN) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['dissolved', 'dissolved', 'turbid']",0
23,Is the mixture between (N[C@H]1CCC[C@H](C1)N) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'turbid', 'turbid']",1
24,Is the mixture between (O=Cc1ccc(C=O)cc1) and (NC1CC(N)CC(N)C1) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",0
25,Is the mixture between (NCCOCCN) and (O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",1
26,Is the mixture between (NCC1CCC(CN)CC1) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?,"['dissolved', 'turbid', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",0
27,Is the mixture between (NCCCC[C@H](N)C(=O)O) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'turbid', 'turbid']",1
28,Is the mixture between (NC1=NON=C1N) and (O=Cc1cccc(-c2cc(-c3cccc(C=O)c3)cc(-c3cccc(C=O)c3)c2)c1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'turbid', 'turbid']",0
29,Is the mixture between (CC(C)(CN)CN) and (O=Cc1cc(C=O)c(O)c(C=O)c1) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",0
30,Is the mixture between (NCCCC[C@H](N)C(=O)O) and (O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1) turbid or dissolved?,"['turbid', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'turbid']",1
31,Is the mixture between (NCCOCCN) and (O=Cc1cc(-c2cc(-c3csc(C=O)c3)cc(-c3csc(C=O)c3)c2)cs1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['dissolved', 'dissolved', 'dissolved']",1
32,Is the mixture between (COc1cc(C=O)ccc1OCCOc1ccc(C=O)cc1OC) and (NCCN(CCN)CCN) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",0
33,Is the mixture between (NCCCCCCNCCCCCCN) and (O=Cc1c(O)c(C=O)c(O)c(C=O)c1O) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['dissolved', 'dissolved', 'dissolved']",1
34,Is the mixture between (CC(C)(C)c1cc(C=O)c(O)c(C=O)c1) and (NCCCN(CCCN)CCCN) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",0
35,Is the mixture between (N[C@H]1CCC[C@H](C1)N) and (O=Cc1ccc(C#Cc2cc(C=O)cc(C=O)c2)cc1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['dissolved', 'turbid', 'turbid']",1
36,Is the mixture between (O=Cc1ccc(-c2ccc(C=O)cc2)cc1) and (NC1CC(N)CC(N)C1) turbid or dissolved?,"['turbid', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",0
37,Is the mixture between (NCCN) and (O=Cc1ccc(C#Cc2cc(C#Cc3ccc(C=O)cc3)cc(C#Cc3ccc(C=O)cc3)c2)cc1) turbid or dissolved?,"['turbid', 'dissolved', 'turbid']","['turbid', 'turbid', 'turbid']",0
38,Is the mixture between (O=Cc1c2ccccc2c(C=O)c2ccccc12) and (NCCCN(CCCN)CCCN) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'dissolved', 'dissolved']",0
39,Is the mixture between (NCCCCCCN) and (O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",1
40,Is the mixture between (COc1cc(C=O)ccc1OCCOc1ccc(C=O)cc1OC) and (Nc1nc(N)nc(N)n1) turbid or dissolved?,"['dissolved', 'turbid', 'turbid']","['dissolved', 'dissolved', 'dissolved']",0
41,Is the mixture between (O=Cc1ccc(C=O)cc1) and (NCCN(CCN)CCN) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",1
42,Is the mixture between (COc1cc(C=O)ccc1OCCOc1ccc(C=O)cc1OC) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",1
