prompt,answer
Would the mixture involving the ditopic CC(C=O)=Cc1ccc(C=C(C)C=O)cc1 and tritopic NCCCN(CCCN)CCCN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 2.0 and of the tritopic specie is 4.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 16.0 and of the tritopic specie is 13.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.4 and of the tritopic specie is -1.5. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 81.3.,turbid
Would the mixture involving the ditopic Cn1nc(-c2ccc(C=O)cc2)cc1C=O and tritopic NCCCN(CCCN)CCCN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 2 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 3.0 and of the tritopic specie is 4.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 16.0 and of the tritopic specie is 13.0. The logP (octanol/water partition coefficient) of the ditopic specie is 1.2 and of the tritopic specie is -1.5. The TPSA (topological polar surface area) of the ditopic specie is 52.0 and of the tritopic specie is 81.3.,dissolved
Would the mixture involving the ditopic O=Cc1c2ccccc2c(C=O)c2ccccc12 and tritopic NCCCN(CCCN)CCCN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 3 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 2.0 and of the tritopic specie is 4.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 18.0 and of the tritopic specie is 13.0. The logP (octanol/water partition coefficient) of the ditopic specie is 3.3 and of the tritopic specie is -1.5. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 81.3.,turbid
Would the mixture involving the ditopic CC(C)(C)c1cc(C=O)c(O)c(C=O)c1 and tritopic NCCCN(CCCN)CCCN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 3.0 and of the tritopic specie is 4.0. The number of hydrogen bond donors in the ditopic specie is 1.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 15.0 and of the tritopic specie is 13.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.7 and of the tritopic specie is -1.5. The TPSA (topological polar surface area) of the ditopic specie is 54.4 and of the tritopic specie is 81.3.,turbid
Would the mixture involving the ditopic O=Cc1ccc2ccc3ccc(C=O)nc3c2n1 and tritopic NCCCN(CCCN)CCCN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 3 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 4.0 and of the tritopic specie is 4.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 18.0 and of the tritopic specie is 13.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.0 and of the tritopic specie is -1.5. The TPSA (topological polar surface area) of the ditopic specie is 59.9 and of the tritopic specie is 81.3.,dissolved
Would the mixture involving the ditopic Cn1nc2c(C=O)cccc2c1C=O and tritopic NCCCN(CCCN)CCCN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 2 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 3.0 and of the tritopic specie is 4.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 14.0 and of the tritopic specie is 13.0. The logP (octanol/water partition coefficient) of the ditopic specie is 0.8 and of the tritopic specie is -1.5. The TPSA (topological polar surface area) of the ditopic specie is 52.0 and of the tritopic specie is 81.3.,turbid
Would the mixture involving the ditopic O=Cc1ccc(-c2ccc(C=O)cc2)cc1 and tritopic NCCCN(CCCN)CCCN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 2 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 2.0 and of the tritopic specie is 4.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 16.0 and of the tritopic specie is 13.0. The logP (octanol/water partition coefficient) of the ditopic specie is 3.3 and of the tritopic specie is -1.5. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 81.3.,turbid
Would the mixture involving the ditopic CC(C=O)=Cc1ccc(C=C(C)C=O)cc1 and tritopic Cc1c(CN)c(C)c(CN)c(C)c1CN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is 2.0 and of the tritopic specie is 3.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 16.0 and of the tritopic specie is 15.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.4 and of the tritopic specie is -0.4. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 78.1.,dissolved
Would the mixture involving the ditopic Cn1nc(-c2ccc(C=O)cc2)cc1C=O and tritopic Cc1c(CN)c(C)c(CN)c(C)c1CN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 2 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is 3.0 and of the tritopic specie is 3.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 16.0 and of the tritopic specie is 15.0. The logP (octanol/water partition coefficient) of the ditopic specie is 1.2 and of the tritopic specie is -0.4. The TPSA (topological polar surface area) of the ditopic specie is 52.0 and of the tritopic specie is 78.1.,turbid
Would the mixture involving the ditopic O=Cc1c(F)c(F)c(C=O)c(F)c1F and tritopic NCCCN(CCCN)CCCN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 6.0 and of the tritopic specie is 4.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 14.0 and of the tritopic specie is 13.0. The logP (octanol/water partition coefficient) of the ditopic specie is 1.2 and of the tritopic specie is -1.5. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 81.3.,turbid
Would the mixture involving the ditopic O=Cc1c2ccccc2c(C=O)c2ccccc12 and tritopic Cc1c(CN)c(C)c(CN)c(C)c1CN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 3 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is 2.0 and of the tritopic specie is 3.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 18.0 and of the tritopic specie is 15.0. The logP (octanol/water partition coefficient) of the ditopic specie is 3.3 and of the tritopic specie is -0.4. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 78.1.,turbid
Would the mixture involving the ditopic CC(C=O)=Cc1ccc(C=C(C)C=O)cc1 and tritopic NCCN(CCN)CCN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 2.0 and of the tritopic specie is 4.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 16.0 and of the tritopic specie is 10.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.4 and of the tritopic specie is -2.6. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 81.3.,turbid
Would the mixture involving the ditopic Cn1nc(-c2ccc(C=O)cc2)cc1C=O and tritopic NCCN(CCN)CCN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 2 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 3.0 and of the tritopic specie is 4.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 16.0 and of the tritopic specie is 10.0. The logP (octanol/water partition coefficient) of the ditopic specie is 1.2 and of the tritopic specie is -2.6. The TPSA (topological polar surface area) of the ditopic specie is 52.0 and of the tritopic specie is 81.3.,turbid
Would the mixture involving the ditopic O=Cc1c2ccccc2c(C=O)c2ccccc12 and tritopic NCCN(CCN)CCN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 3 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 2.0 and of the tritopic specie is 4.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 18.0 and of the tritopic specie is 10.0. The logP (octanol/water partition coefficient) of the ditopic specie is 3.3 and of the tritopic specie is -2.6. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 81.3.,dissolved
Would the mixture involving the ditopic O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1 and tritopic NCCCN(CCCN)CCCN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 2 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 4.0 and of the tritopic specie is 4.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 21.0 and of the tritopic specie is 13.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.8 and of the tritopic specie is -1.5. The TPSA (topological polar surface area) of the ditopic specie is 52.6 and of the tritopic specie is 81.3.,turbid
Would the mixture involving the ditopic CC(C=O)=Cc1ccc(C=C(C)C=O)cc1 and tritopic NC1CC(N)CC(N)C1 building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 2.0 and of the tritopic specie is 3.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 16.0 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.4 and of the tritopic specie is -1.6. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 78.1.,dissolved
Would the mixture involving the ditopic O=Cc1c2ccccc2c(C=O)c2ccccc12 and tritopic NC1CC(N)CC(N)C1 building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 3 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 2.0 and of the tritopic specie is 3.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 18.0 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 3.3 and of the tritopic specie is -1.6. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 78.1.,dissolved
Would the mixture involving the ditopic Cn1nc(-c2ccc(C=O)cc2)cc1C=O and tritopic NC1CC(N)CC(N)C1 building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 2 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 3.0 and of the tritopic specie is 3.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 16.0 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 1.2 and of the tritopic specie is -1.6. The TPSA (topological polar surface area) of the ditopic specie is 52.0 and of the tritopic specie is 78.1.,turbid
Would the mixture involving the ditopic O=Cc1ccc2ccc3ccc(C=O)nc3c2n1 and tritopic Cc1c(CN)c(C)c(CN)c(C)c1CN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 3 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is 4.0 and of the tritopic specie is 3.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 18.0 and of the tritopic specie is 15.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.0 and of the tritopic specie is -0.4. The TPSA (topological polar surface area) of the ditopic specie is 59.9 and of the tritopic specie is 78.1.,turbid
Would the mixture involving the ditopic CC(C=O)=Cc1ccc(C=C(C)C=O)cc1 and tritopic Nc1nc(N)nc(N)n1 building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is 2.0 and of the tritopic specie is 6.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 16.0 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.4 and of the tritopic specie is -1.4. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 117.0.,turbid
Would the mixture involving the ditopic CC(C)(C)c1cc(C=O)c(O)c(C=O)c1 and tritopic Cc1c(CN)c(C)c(CN)c(C)c1CN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is 3.0 and of the tritopic specie is 3.0. The number of hydrogen bond donors in the ditopic specie is 1.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 15.0 and of the tritopic specie is 15.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.7 and of the tritopic specie is -0.4. The TPSA (topological polar surface area) of the ditopic specie is 54.4 and of the tritopic specie is 78.1.,dissolved
Would the mixture involving the ditopic O=Cc1ccc2ccc3ccc(C=O)nc3c2n1 and tritopic NCCN(CCN)CCN building blocks be turbid or dissolved? Knowing the following properties about them: The number of aromatic groups in the ditopic specie is 3 and of the tritopic specie is 0. The number of hydrogen bond acceptors in the ditopic specie is 4.0 and of the tritopic specie is 4.0. The number of hydrogen bond donors in the ditopic specie is 0.0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 18.0 and of the tritopic specie is 10.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.0 and of the tritopic specie is -2.6. The TPSA (topological polar surface area) of the ditopic specie is 59.9 and of the tritopic specie is 81.3.,turbid
