,,Answer,class_0,class_100,Prompt,correct_class_0,correct_class_100
0.1,3,0,0,0,"Is the mixture between ditopic O=Cc1ccc(C=O)cc1 and tritopic Nc1nc(N)nc(N)n1 turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 134.03677943, 126.06539422. The molecular complexities: 107.0, 63.3. The number of aromatic groups: 1, 1. The number of heavy atoms: 10, 9.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 0.0. The number of hydrogen bond acceptors: 2, 6.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 0.9, -1.4. The TPSA (topological polar surface area): 34.1, 117.0.",True,True
0.1,5,0,0,0,"Is the mixture between ditopic O=Cc1ccc(-c2ccc(C=O)cc2)cc1 and tritopic Nc1nc(N)nc(N)n1 turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 210.068079557, 126.06539422. The molecular complexities: 207.0, 63.3. The number of aromatic groups: 2, 1. The number of heavy atoms: 16, 9.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 3, 0.0. The number of hydrogen bond acceptors: 2, 6.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 3.3, -1.4. The TPSA (topological polar surface area): 34.1, 117.0.",True,True
0.1,9,0,0,0,"Is the mixture between ditopic O=Cc1ccccc1C=O and tritopic Nc1nc(N)nc(N)n1 turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 134.03677943, 126.06539422. The molecular complexities: 115.0, 63.3. The number of aromatic groups: 1, 1. The number of heavy atoms: 10, 9.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 0.0. The number of hydrogen bond acceptors: 2, 6.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 1.2, -1.4. The TPSA (topological polar surface area): 34.1, 117.0.",True,True
0.1,22,1,0,0,"Is the mixture between ditopic O=Cc1c2ccccc2c(C=O)c2ccccc12 and tritopic Cc1c(CN)c(C)c(CN)c(C)c1CN turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 234.068079557, 207.173547683. The molecular complexities: 269.0, 144.0. The number of aromatic groups: 3, 1. The number of heavy atoms: 18, 15.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 3.0. The number of hydrogen bond acceptors: 2, 3.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 3.3, -0.4. The TPSA (topological polar surface area): 34.1, 78.1.",False,False
0.1,25,0,1,0,"Is the mixture between ditopic O=Cc1ccccc1C=O and tritopic Cc1c(CN)c(C)c(CN)c(C)c1CN turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 134.03677943, 207.173547683. The molecular complexities: 115.0, 144.0. The number of aromatic groups: 1, 1. The number of heavy atoms: 10, 15.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 3.0. The number of hydrogen bond acceptors: 2, 3.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 1.2, -0.4. The TPSA (topological polar surface area): 34.1, 78.1.",False,True
0.1,30,1,0,0,"Is the mixture between ditopic O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1 and tritopic Cc1c(CN)c(C)c(CN)c(C)c1CN turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 284.10485899, 207.173547683. The molecular complexities: 272.0, 144.0. The number of aromatic groups: 2, 1. The number of heavy atoms: 21, 15.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 8, 3.0. The number of hydrogen bond acceptors: 4, 3.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 2.8, -0.4. The TPSA (topological polar surface area): 52.6, 78.1.",False,False
0.1,33,1,0,0,"Is the mixture between ditopic CC(C)(C)c1cc(C=O)c(O)c(C=O)c1 and tritopic NCCN(CCN)CCN turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 206.094294304, 146.153146591. The molecular complexities: 224.0, 52.5. The number of aromatic groups: 1, 0. The number of heavy atoms: 15, 10.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 3, 6.0. The number of hydrogen bond acceptors: 3, 4.0. The number of hydrogen bond donors: 1, 3.0. The logP (octanol/water partition coefficient): 2.7, -2.6. The TPSA (topological polar surface area): 54.4, 81.3.",False,False
0.1,39,0,0,0,"Is the mixture between ditopic O=Cc1ccc2ccc3ccc(C=O)nc3c2n1 and tritopic NCCN(CCN)CCN turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 236.058577502, 146.153146591. The molecular complexities: 302.0, 52.5. The number of aromatic groups: 3, 0. The number of heavy atoms: 18, 10.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 6.0. The number of hydrogen bond acceptors: 4, 4.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 2.0, -2.6. The TPSA (topological polar surface area): 59.9, 81.3.",True,True
0.1,42,1,0,0,"Is the mixture between ditopic Cn1nc(-c2ccc(C=O)cc2)cc1C=O and tritopic NCCN(CCN)CCN turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 214.074227566, 146.153146591. The molecular complexities: 262.0, 52.5. The number of aromatic groups: 2, 0. The number of heavy atoms: 16, 10.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 3, 6.0. The number of hydrogen bond acceptors: 3, 4.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 1.2, -2.6. The TPSA (topological polar surface area): 52.0, 81.3.",False,False
0.1,45,0,0,0,"Is the mixture between ditopic Cn1nc2c(C=O)cccc2c1C=O and tritopic NCCN(CCN)CCN turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 188.058577502, 146.153146591. The molecular complexities: 244.0, 52.5. The number of aromatic groups: 2, 0. The number of heavy atoms: 14, 10.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 2, 6.0. The number of hydrogen bond acceptors: 3, 4.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 0.8, -2.6. The TPSA (topological polar surface area): 52.0, 81.3.",True,True
0.1,46,1,0,0,"Is the mixture between ditopic O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1 and tritopic NCCN(CCN)CCN turbid or dissolved? Knowing the following properties in ditopic and tritopic molecules respectively: The exact massses: 284.10485899, 146.153146591. The molecular complexities: 272.0, 52.5. The number of aromatic groups: 2, 0. The number of heavy atoms: 21, 10.0. The number of defined stereochemical bounds: 0, 0.0. The number of rotatable bounds: 8, 6.0. The number of hydrogen bond acceptors: 4, 4.0. The number of hydrogen bond donors: 0, 3.0. The logP (octanol/water partition coefficient): 2.8, -2.6. The TPSA (topological polar surface area): 52.6, 81.3.",False,False
