,,Answer,class_0,class_100,Prompt
0.1,3,0,0,1,Is the mixture between (O=Cc1ccc(C=O)cc1) and (Nc1nc(N)nc(N)n1) turbid or dissolved?
0.1,5,0,0,1,Is the mixture between (O=Cc1ccc(-c2ccc(C=O)cc2)cc1) and (Nc1nc(N)nc(N)n1) turbid or dissolved?
0.1,9,0,0,1,Is the mixture between (O=Cc1ccccc1C=O) and (Nc1nc(N)nc(N)n1) turbid or dissolved?
0.1,22,1,0,1,Is the mixture between (O=Cc1c2ccccc2c(C=O)c2ccccc12) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?
0.1,25,0,1,1,Is the mixture between (O=Cc1ccccc1C=O) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?
0.1,30,1,1,1,Is the mixture between (O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?
0.1,33,1,1,1,Is the mixture between (CC(C)(C)c1cc(C=O)c(O)c(C=O)c1) and (NCCN(CCN)CCN) turbid or dissolved?
0.1,39,0,1,1,Is the mixture between (O=Cc1ccc2ccc3ccc(C=O)nc3c2n1) and (NCCN(CCN)CCN) turbid or dissolved?
0.1,42,1,0,1,Is the mixture between (Cn1nc(-c2ccc(C=O)cc2)cc1C=O) and (NCCN(CCN)CCN) turbid or dissolved?
0.1,45,0,1,1,Is the mixture between (Cn1nc2c(C=O)cccc2c1C=O) and (NCCN(CCN)CCN) turbid or dissolved?
0.1,46,1,1,1,Is the mixture between (O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1) and (NCCN(CCN)CCN) turbid or dissolved?
0.1,55,0,0,1,Is the mixture between (O=Cc1ccc2ccc3ccc(C=O)nc3c2n1) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
0.1,56,0,1,1,Is the mixture between (O=Cc1ccsc1C=O) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
0.1,57,0,1,1,Is the mixture between (O=Cc1ccccc1C=O) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
0.1,63,0,1,1,Is the mixture between (CCCCC(CC)COc1cc(C=O)c(OC)cc1C=O) and (CCc1c(CN)c(CC)c(CN)c(CC)c1CN) turbid or dissolved?
0.1,72,1,1,1,Is the mixture between (O=Cc1ccsc1C=O) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.1,73,0,1,1,Is the mixture between (O=Cc1ccccc1C=O) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.1,75,0,1,1,Is the mixture between (CC(C=O)=Cc1ccc(C=C(C)C=O)cc1) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.1,76,0,1,1,Is the mixture between (COc1cc(C=O)ccc1OCCOc1ccc(C=O)cc1OC) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.1,77,0,0,1,Is the mixture between (Cn1nc2c(C=O)cccc2c1C=O) and (NCCCN(CCCN)CCCN) turbid or dissolved?
0.1,82,0,1,1,Is the mixture between (O=Cc1cc2sc(C=O)cc2s1) and (NC1CC(N)CC(N)C1) turbid or dissolved?
0.1,84,0,1,1,Is the mixture between (O=Cc1c(F)c(F)c(C=O)c(F)c1F) and (NC1CC(N)CC(N)C1) turbid or dissolved?
0.1,93,0,0,0,Is the mixture between (Cn1nc2c(C=O)cccc2c1C=O) and (NC1CC(N)CC(N)C1) turbid or dissolved?
0.1,108,1,1,1,Is the mixture between (CN(CCCN)CCCN) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
0.1,109,1,1,1,Is the mixture between (NCCOCCN) and (O=Cc1cc(C=O)cc(C=O)c1) turbid or dissolved?
