,Prompt,class_0,class_100,Answer
0,Is the mixture between (O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1) and (NCCCN(CCCN)CCCN) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",1
1,Is the mixture between (Cn1nc(-c2ccc(C=O)cc2)cc1C=O) and (NC1CC(N)CC(N)C1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['dissolved', 'dissolved', 'dissolved']",0
2,Is the mixture between (O=Cc1cccc(C=O)c1) and (Cc1c(CN)c(C)c(CN)c(C)c1CN) turbid or dissolved?,"['dissolved', 'dissolved', 'turbid']","['dissolved', 'dissolved', 'dissolved']",0
3,Is the mixture between (O=Cc1cc2sc(C=O)cc2s1) and (NCCCN(CCCN)CCCN) turbid or dissolved?,"['turbid', 'turbid', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",0
4,Is the mixture between (CN(CCCN)CCCN) and (O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",1
5,Is the mixture between (O=Cc1ccc2ccc3ccc(C=O)nc3c2n1) and (Nc1nc(N)nc(N)n1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'dissolved', 'turbid']",0
6,Is the mixture between (NCCCC[C@H](N)C(=O)O) and (O=Cc1cccc(-c2cc(-c3cccc(C=O)c3)cc(-c3cccc(C=O)c3)c2)c1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['dissolved', 'dissolved', 'dissolved']",1
7,Is the mixture between (NCC(CN)O) and (C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)/C=C/C3=CC=C(C=C3)C=O)/C=C/C4=CC=C(C=C4)C=O)C=O) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['turbid', 'turbid', 'turbid']",1
8,Is the mixture between (NCC(CN)O) and (O=Cc1ccc(C#Cc2cc(C=O)cc(C=O)c2)cc1) turbid or dissolved?,"['turbid', 'turbid', 'turbid']","['dissolved', 'turbid', 'dissolved']",1
9,Is the mixture between (NCC1CCC(CN)CC1) and (O=Cc1ccc(C#Cc2cc(C=O)cc(C=O)c2)cc1) turbid or dissolved?,"['dissolved', 'dissolved', 'dissolved']","['dissolved', 'dissolved', 'dissolved']",1
