,Prompts,turbidity
0,Would the mixture involving the ditopic O=Cc1cccc(C=O)c1 and tritopic Nc1nc(N)nc(N)n1 building blocks be turbid or dissolved ? Knowing the following propreties about them: The overall charge of the ditopic specie is 0 and of the tritopic specie is 0.0. The complexity index of the ditopic specie is 117.0 and of the tritopic specie is 63.3. The covalent unit count of the ditopic specie is 1 and of the tritopic specie is 1.0. The number of stereocentric atoms of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of stereocentric bonds of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of rotatable bonds the ditopic specie is 2 and of the tritopic specie is 0.0. The exact mass of the ditopic specie is 134.03677943 and of the tritopic specie is 126.06539422. The molecular weight of the ditopic specie is 134.13 and of the tritopic specie is 126.12. The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is  2 and of the tritopic specie is 6.0. The number of hydrogen bond donnor in the ditopic specie is 0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 10 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 1.2 and of the tritopic specie is -1.4. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 117.0. ,0
1,Would the mixture involving the ditopic CC(C)(C)c1cc(C=O)c(O)c(C=O)c1 and tritopic Nc1nc(N)nc(N)n1 building blocks be turbid or dissolved ? Knowing the following propreties about them: The overall charge of the ditopic specie is 0 and of the tritopic specie is 0.0. The complexity index of the ditopic specie is 224.0 and of the tritopic specie is 63.3. The covalent unit count of the ditopic specie is 1 and of the tritopic specie is 1.0. The number of stereocentric atoms of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of stereocentric bonds of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of rotatable bonds the ditopic specie is 3 and of the tritopic specie is 0.0. The exact mass of the ditopic specie is 206.094294304 and of the tritopic specie is 126.06539422. The molecular weight of the ditopic specie is 206.24 and of the tritopic specie is 126.12. The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is  3 and of the tritopic specie is 6.0. The number of hydrogen bond donnor in the ditopic specie is 1 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 15 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.7 and of the tritopic specie is -1.4. The TPSA (topological polar surface area) of the ditopic specie is 54.4 and of the tritopic specie is 117.0. ,0
2,Would the mixture involving the ditopic O=Cc1cc2sc(C=O)cc2s1 and tritopic Nc1nc(N)nc(N)n1 building blocks be turbid or dissolved ? Knowing the following propreties about them: The overall charge of the ditopic specie is 0 and of the tritopic specie is 0.0. The complexity index of the ditopic specie is 185.0 and of the tritopic specie is 63.3. The covalent unit count of the ditopic specie is 1 and of the tritopic specie is 1.0. The number of stereocentric atoms of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of stereocentric bonds of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of rotatable bonds the ditopic specie is 2 and of the tritopic specie is 0.0. The exact mass of the ditopic specie is 195.96527171 and of the tritopic specie is 126.06539422. The molecular weight of the ditopic specie is 196.3 and of the tritopic specie is 126.12. The number of aromatic groups in the ditopic specie is 2 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is  4 and of the tritopic specie is 6.0. The number of hydrogen bond donnor in the ditopic specie is 0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 12 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.3 and of the tritopic specie is -1.4. The TPSA (topological polar surface area) of the ditopic specie is 90.6 and of the tritopic specie is 117.0. ,0
3,Would the mixture involving the ditopic O=Cc1ccc(C=O)cc1 and tritopic Nc1nc(N)nc(N)n1 building blocks be turbid or dissolved ? Knowing the following propreties about them: The overall charge of the ditopic specie is 0 and of the tritopic specie is 0.0. The complexity index of the ditopic specie is 107.0 and of the tritopic specie is 63.3. The covalent unit count of the ditopic specie is 1 and of the tritopic specie is 1.0. The number of stereocentric atoms of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of stereocentric bonds of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of rotatable bonds the ditopic specie is 2 and of the tritopic specie is 0.0. The exact mass of the ditopic specie is 134.03677943 and of the tritopic specie is 126.06539422. The molecular weight of the ditopic specie is 134.13 and of the tritopic specie is 126.12. The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is  2 and of the tritopic specie is 6.0. The number of hydrogen bond donnor in the ditopic specie is 0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 10 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 0.9 and of the tritopic specie is -1.4. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 117.0. ,0
4,Would the mixture involving the ditopic O=Cc1c(F)c(F)c(C=O)c(F)c1F and tritopic Nc1nc(N)nc(N)n1 building blocks be turbid or dissolved ? Knowing the following propreties about them: The overall charge of the ditopic specie is 0 and of the tritopic specie is 0.0. The complexity index of the ditopic specie is 195.0 and of the tritopic specie is 63.3. The covalent unit count of the ditopic specie is 1 and of the tritopic specie is 1.0. The number of stereocentric atoms of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of stereocentric bonds of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of rotatable bonds the ditopic specie is 2 and of the tritopic specie is 0.0. The exact mass of the ditopic specie is 205.99909195 and of the tritopic specie is 126.06539422. The molecular weight of the ditopic specie is 206.09 and of the tritopic specie is 126.12. The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is  6 and of the tritopic specie is 6.0. The number of hydrogen bond donnor in the ditopic specie is 0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 14 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 1.2 and of the tritopic specie is -1.4. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 117.0. ,0
5,Would the mixture involving the ditopic O=Cc1ccc(-c2ccc(C=O)cc2)cc1 and tritopic Nc1nc(N)nc(N)n1 building blocks be turbid or dissolved ? Knowing the following propreties about them: The overall charge of the ditopic specie is 0 and of the tritopic specie is 0.0. The complexity index of the ditopic specie is 207.0 and of the tritopic specie is 63.3. The covalent unit count of the ditopic specie is 1 and of the tritopic specie is 1.0. The number of stereocentric atoms of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of stereocentric bonds of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of rotatable bonds the ditopic specie is 3 and of the tritopic specie is 0.0. The exact mass of the ditopic specie is 210.068079557 and of the tritopic specie is 126.06539422. The molecular weight of the ditopic specie is 210.23 and of the tritopic specie is 126.12. The number of aromatic groups in the ditopic specie is 2 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is  2 and of the tritopic specie is 6.0. The number of hydrogen bond donnor in the ditopic specie is 0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 16 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 3.3 and of the tritopic specie is -1.4. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 117.0. ,0
6,Would the mixture involving the ditopic O=Cc1c2ccccc2c(C=O)c2ccccc12 and tritopic Nc1nc(N)nc(N)n1 building blocks be turbid or dissolved ? Knowing the following propreties about them: The overall charge of the ditopic specie is 0 and of the tritopic specie is 0.0. The complexity index of the ditopic specie is 269.0 and of the tritopic specie is 63.3. The covalent unit count of the ditopic specie is 1 and of the tritopic specie is 1.0. The number of stereocentric atoms of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of stereocentric bonds of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of rotatable bonds the ditopic specie is 2 and of the tritopic specie is 0.0. The exact mass of the ditopic specie is 234.068079557 and of the tritopic specie is 126.06539422. The molecular weight of the ditopic specie is 234.25 and of the tritopic specie is 126.12. The number of aromatic groups in the ditopic specie is 3 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is  2 and of the tritopic specie is 6.0. The number of hydrogen bond donnor in the ditopic specie is 0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 18 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 3.3 and of the tritopic specie is -1.4. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 117.0. ,0
7,Would the mixture involving the ditopic O=Cc1ccc2ccc3ccc(C=O)nc3c2n1 and tritopic Nc1nc(N)nc(N)n1 building blocks be turbid or dissolved ? Knowing the following propreties about them: The overall charge of the ditopic specie is 0 and of the tritopic specie is 0.0. The complexity index of the ditopic specie is 302.0 and of the tritopic specie is 63.3. The covalent unit count of the ditopic specie is 1 and of the tritopic specie is 1.0. The number of stereocentric atoms of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of stereocentric bonds of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of rotatable bonds the ditopic specie is 2 and of the tritopic specie is 0.0. The exact mass of the ditopic specie is 236.058577502 and of the tritopic specie is 126.06539422. The molecular weight of the ditopic specie is 236.22 and of the tritopic specie is 126.12. The number of aromatic groups in the ditopic specie is 3 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is  4 and of the tritopic specie is 6.0. The number of hydrogen bond donnor in the ditopic specie is 0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 18 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 2.0 and of the tritopic specie is -1.4. The TPSA (topological polar surface area) of the ditopic specie is 59.9 and of the tritopic specie is 117.0. ,0
8,Would the mixture involving the ditopic O=Cc1ccsc1C=O and tritopic Nc1nc(N)nc(N)n1 building blocks be turbid or dissolved ? Knowing the following propreties about them: The overall charge of the ditopic specie is 0 and of the tritopic specie is 0.0. The complexity index of the ditopic specie is 124.0 and of the tritopic specie is 63.3. The covalent unit count of the ditopic specie is 1 and of the tritopic specie is 1.0. The number of stereocentric atoms of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of stereocentric bonds of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of rotatable bonds the ditopic specie is 2 and of the tritopic specie is 0.0. The exact mass of the ditopic specie is 139.99320054 and of the tritopic specie is 126.06539422. The molecular weight of the ditopic specie is 140.16 and of the tritopic specie is 126.12. The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is  3 and of the tritopic specie is 6.0. The number of hydrogen bond donnor in the ditopic specie is 0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 9 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 0.9 and of the tritopic specie is -1.4. The TPSA (topological polar surface area) of the ditopic specie is 62.4 and of the tritopic specie is 117.0. ,0
9,Would the mixture involving the ditopic O=Cc1ccccc1C=O and tritopic Nc1nc(N)nc(N)n1 building blocks be turbid or dissolved ? Knowing the following propreties about them: The overall charge of the ditopic specie is 0 and of the tritopic specie is 0.0. The complexity index of the ditopic specie is 115.0 and of the tritopic specie is 63.3. The covalent unit count of the ditopic specie is 1 and of the tritopic specie is 1.0. The number of stereocentric atoms of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of stereocentric bonds of the ditopic specie is 0 and of the tritopic specie is 0.0. The number of rotatable bonds the ditopic specie is 2 and of the tritopic specie is 0.0. The exact mass of the ditopic specie is 134.03677943 and of the tritopic specie is 126.06539422. The molecular weight of the ditopic specie is 134.13 and of the tritopic specie is 126.12. The number of aromatic groups in the ditopic specie is 1 and of the tritopic specie is 1. The number of hydrogen bond acceptors in the ditopic specie is  2 and of the tritopic specie is 6.0. The number of hydrogen bond donnor in the ditopic specie is 0 and of the tritopic specie is 3.0. The number of heavy atoms in the ditopic specie is 10 and of the tritopic specie is 9.0. The logP (octanol/water partition coefficient) of the ditopic specie is 1.2 and of the tritopic specie is -1.4. The TPSA (topological polar surface area) of the ditopic specie is 34.1 and of the tritopic specie is 117.0. ,0
